"Column 1","TOPICS","RAJ/GUJARAT","BATCH 1
(10 am - 12 noon)","SOUTH","BATCH 2
(10 am - 12 noon)","BIHAR/JHAR","BATCH 3
(10 am - 12 am)","MP/MAHA/CHATIS.","BATCH 4
(1pm - 3pm)","BATCH 5
(1pm- 3pm)","","","","","","","","","","","","","","",""
"Basics 1 ","Orientation & Sales Basics
Buyer Psychology & School Decision Journey","19 May","krishna","19 May","ALOK","19 May","Alok
","5/19/2026","Krishna
","Umesh ","","","","","","","","","","","","","","",""
"Basics 2","Advance Sales Skills
Territory Mapping ","20 May","krishna","20 May","ALOK","20 May","Alok","5/20/2026","Krishna
","Umesh ","","","","","","","","","","","","","","",""
"Deep Dive  3","Our SKUs and their Differentiating 
Factors","21 May","Rolly","21 May","ALOK","21 May","Chetali","5/21/2026","Krishna
","Umesh ","","","","","","","","","","","","","","",""
"Deep Dive   4","QBG & Digital Platform Training and Demo","22 May","Rolly","22 May","Anshika","22 May","Rolly","5/22/2026","Krishna
","Umesh ","","","","","","","","","","","","","","",""
"Deep Dive   5","DEMO -->> QBG/DIGITAL PLATFORM and COMPONENTS CLARITY","26 May","Rolly","","","26 May","Alok","5/26/2026","Krishna
","Umesh ","","","","","","","","","","","","","","",""
"Deep Dive   6","STEP BY STEP SERIES - ECCE","27 May","Rolly","","","27 May","Alok","5/27/2026","Krishna
","Umesh ","","","","","","","","","","","","","","",""
"Deep Dive   7","Semester Series Part 2
(Golden Rules)","","Rolly","","","","Anshika","","Krishna
","Umesh ","","","","","","","","","","","","","","",""
"Deep Dive   8","Saphire Series - Training - Science/EVS","","Rolly","","","","Anshika","","Krishna
","Umesh ","","","","","","","","","","","","","","",""
"Deep Dive   9","Saphire Series - Training - Maths ","","Rolly","","","","Anshika","","Krishna
","Umesh ","","","","","","","","","","","","","","",""
"Deep Dive   10","Saphire Series - Training - English Literature/Grammar","","Rolly","","","","Umesh","","Krishna
","Umesh ","","","","","","","","","","","","","","",""
"Deep Dive   11","Saphire Series - Training - SST/GK","","Alok","","","","Anshika","","Krishna
","Umesh ","","","","","","","","","","","","","","",""
"Deep Dive   12","Saphire Series - Training - CS/AI","","Rolly","","","","Anshika","","Krishna
","Umesh ","","","","","","","","","","","","","","",""
"Deep Dive   13","Saphire Series - Training - Hindi Literature/Grammar","","Rolly","","","","Anshika","","Krishna
","Umesh ","","","","","","","","","","","","","","",""
"Deep Dive   14","Award Ceremony/Certification/Award Declaration Day ","","Rolly","","","","Anshika","","Krishna
","Umesh ","","","","","","","","","","","","","","",""
